"Device: E-TC"
"Serial Number: 20ABC75"
"Channel Count: 3"
"Sample Count: 30582"
"Start Time: 1/9/2023 12:19:43.95 PM"
"Scan Rate: 100"
"Sample","Date/Time","AI0 (°C)","AI1 (°C)","AI2 (°C)"
"318","1/9/2023 12:19:47.14 PM","11.205572128","410.788574219","22.820312500"
"319","1/9/2023 12:19:47.15 PM","11.205572128","410.788574219","22.820312500"
"320","1/9/2023 12:19:47.16 PM","11.205572128","410.788574219","22.820312500"
"321","1/9/2023 12:19:47.17 PM","11.205572128","410.788574219","22.820312500"
"322","1/9/2023 12:19:47.18 PM","11.205572128","410.788574219","22.820312500"
"323","1/9/2023 12:19:47.19 PM","11.205572128","410.003845215","22.820312500"
"324","1/9/2023 12:19:47.20 PM","11.205572128","410.003845215","22.820312500"
"325","1/9/2023 12:19:47.21 PM","11.205572128","410.003845215","22.820312500"
"326","1/9/2023 12:19:47.22 PM","11.205572128","410.003845215","22.820312500"
"327","1/9/2023 12:19:47.23 PM","11.205572128","410.003845215","22.820312500"
"328","1/9/2023 12:19:47.24 PM","11.205572128","410.003845215","22.777915955"
"329","1/9/2023 12:19:47.25 PM","11.205572128","410.003845215","22.777915955"
"330","1/9/2023 12:19:47.26 PM","11.205572128","410.003845215","22.777915955"
"331","1/9/2023 12:19:47.27 PM","11.205572128","410.003845215","22.777915955"
"332","1/9/2023 12:19:47.28 PM","11.205572128","410.003845215","22.777915955"
"333","1/9/2023 12:19:47.29 PM","11.205572128","410.003845215","22.777915955"
